Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Lab Air supply pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.6528652396	6019.8984375000	0.1033290252	23017.2832031250	0.5453012667	20715.5548828125	23017.2832031250	20715.5548828125	10715.5548828125	1840.5000000000	5.8220890425	20715.5548828125
0.6529231274	6013.2382812500	0.0794563815	23029.2011718750	0.5448602581	20726.2810546875	23029.2011718750	20726.2810546875	10726.2810546875	1840.5000000000	5.8279169001	11496.6875734329
0.6529809805	6431.4672851563	0.0776339993	22987.7968750000	0.5523365702	20689.0171875000	22987.7968750000	20689.0171875000	10689.0171875000	1840.5000000000	5.8076703002	20689.0171875000
0.6530388421	6181.4057617188	0.2269750834	22974.9121093750	0.5416524020	20677.4208984375	22974.9121093750	20677.4208984375	10677.4208984375	1840.5000000000	5.8013696813	20677.4208984375
0.6530967313	5902.8354492188	0.5722348690	22855.8203125000	0.5473552334	20570.2382812500	22855.8203125000	20570.2382812500	10570.2382812500	1840.5000000000	5.7431340838	20570.2382812500
0.6531546033	5967.6518554688	0.9439302087	21935.9882812500	0.5646684984	19742.3894531250	21935.9882812500	19742.3894531250	9742.3894531250	1840.5000000000	5.2933384695	19742.3894531250
0.6532124585	6191.3530273438	1.3315699100	21113.0488281250	0.5877879258	19001.7439453125	21113.0488281250	19001.7439453125	9001.7439453125	1840.5000000000	4.8909230890	19001.7439453125
0.6532703442	6330.5014648438	1.6793367863	20879.5234375000	0.5929040286	18791.5710937500	20879.5234375000	18791.5710937500	8791.5710937500	1840.5000000000	4.7767297440	18791.5710937500
0.6533282111	6333.6738281250	2.0249304771	20864.8339843750	0.5948070031	18778.3505859375	20864.8339843750	18778.3505859375	8778.3505859375	1840.5000000000	4.7695466373	18778.3505859375
0.6533860781	6322.9975585938	2.4159700871	20847.6972656250	0.5917743869	18762.9275390625	20847.6972656250	18762.9275390625	8762.9275390625	1840.5000000000	4.7611668237	18762.9275390625
0.6534439579	6324.3325195313	3.0745065212	20819.1132812500	0.5979020254	18737.2019531250	20819.1132812500	18737.2019531250	8737.2019531250	1840.5000000000	4.7471893253	18737.2019531250
0.6535018371	6083.8515625000	3.5841562748	20786.7089843750	0.5842959678	18708.0380859375	20786.7089843750	18708.0380859375	8708.0380859375	1840.5000000000	4.7313437033	18708.0380859375
0.6535596844	6249.2460937500	3.9269690514	20807.5703125000	0.5906767396	18726.8132812500	20807.5703125000	18726.8132812500	8726.8132812500	1840.5000000000	4.7415448418	18726.8132812500
0.6536175487	6235.7402343750	4.1815524101	20743.9101562500	0.5943345531	18669.5191406250	20743.9101562500	18669.5191406250	8669.5191406250	1840.5000000000	4.7104151810	18669.5191406250
0.6536754406	6309.2832031250	4.4266281128	20649.8300781250	0.6018108253	18584.8470703125	20649.8300781250	18584.8470703125	8584.8470703125	1840.5000000000	4.6644102528	18584.8470703125
0.6537333174	6342.6933593750	4.6425704956	20679.1972656250	0.5972774828	18611.2775390625	20679.1972656250	18611.2775390625	8611.2775390625	1840.5000000000	4.6787707357	18611.2775390625
0.6537911557	6367.2045898438	4.8480043411	20756.6171875000	0.5975365681	18680.9554687500	20756.6171875000	18680.9554687500	8680.9554687500	1840.5000000000	4.7166288882	18680.9554687500
0.6538490200	6411.3764648438	5.0705208778	20898.5371093750	0.5955006909	18808.6833984375	20898.5371093750	18808.6833984375	8808.6833984375	1840.5000000000	4.7860273830	18808.6833984375
0.6539068900	6394.4716796875	5.2128877640	21023.2148437500	0.5915333758	18920.8933593750	21023.2148437500	18920.8933593750	8920.8933593750	1840.5000000000	4.8469944903	18920.8933593750
0.6539647811	6405.3666992188	5.3568539619	21125.6074218750	0.5849270979	19013.0466796875	21125.6074218750	19013.0466796875	9013.0466796875	1840.5000000000	4.8970642106	19013.0466796875
