Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Lab Air supply pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.6558221313	10699.7861328125	9.0494575500	24142.1542968750	0.0901385238	21727.9388671875	24142.1542968750	21727.9388671875	11727.9388671875	245.4000000000	47.7911119282	21727.9388671875
0.6558799857	10710.1054687500	9.0558824539	24102.7617187500	0.0904228815	21692.4855468750	24102.7617187500	21692.4855468750	11692.4855468750	245.4000000000	47.6466403703	21692.4855468750
0.6559378517	10697.8183593750	9.0878391266	24077.0195312500	0.0903309994	21669.3175781250	24077.0195312500	21669.3175781250	11669.3175781250	245.4000000000	47.5522313697	21669.3175781250
0.6559957287	10713.4638671875	9.0258750916	24061.1347656250	0.0904829941	21655.0212890625	24061.1347656250	21655.0212890625	11655.0212890625	245.4000000000	47.4939742831	21655.0212890625
0.6560535947	10704.1337890625	8.9402904510	24042.7167968750	0.0904323617	21638.4451171875	24042.7167968750	21638.4451171875	11638.4451171875	245.4000000000	47.4264267204	21638.4451171875
0.6561114722	10712.0107421875	8.9302825928	24015.2812500000	0.0906637234	21613.7531250000	24015.2812500000	21613.7531250000	11613.7531250000	245.4000000000	47.3258073553	21613.7531250000
0.6561693385	10848.2822265625	8.8999137878	24013.0585937500	0.0914445506	21611.7527343750	24013.0585937500	21611.7527343750	11611.7527343750	245.4000000000	47.3176558043	11099.4012489319
0.6562272044	10985.5722656250	8.8708724976	23983.7773437500	0.0918193221	21585.3996093750	23983.7773437500	21585.3996093750	11585.3996093750	245.4000000000	47.2102673569	12323.8594308853
0.6562850819	11024.1533203125	8.9080457687	23931.9140625000	0.0918578074	21538.7226562500	23931.9140625000	21538.7226562500	11538.7226562500	245.4000000000	47.0200597239	13551.0102643013
0.6563429478	11027.7978515625	8.9401769638	23810.7441406250	0.0924555956	21429.6697265625	23810.7441406250	21429.6697265625	11429.6697265625	245.4000000000	46.5756712574	14780.3639208794
0.6564008138	11036.7617187500	8.9515590668	23553.5292968750	0.0935613266	21198.1763671875	23553.5292968750	21198.1763671875	11198.1763671875	245.4000000000	45.6323405346	16002.3754186630
0.6564586909	11033.7626953125	8.9415779114	23336.0351562500	0.0942903521	21002.4316406250	23336.0351562500	21002.4316406250	11002.4316406250	245.4000000000	44.8346847621	17234.4141206741
0.6565165572	11000.2470703125	8.9331789017	23134.5703125000	0.0950180805	20821.1132812500	23134.5703125000	20821.1132812500	10821.1132812500	245.4000000000	44.0958161420	18456.4335755348
0.6565744228	10989.9267578125	8.9332418442	23016.1777343750	0.0955428547	20714.5599609375	23016.1777343750	20714.5599609375	10714.5599609375	245.4000000000	43.6616135328	19685.7864130020
0.6566323003	10976.4931640625	8.9304132462	22607.9472656250	0.0971596186	20347.1525390625	22607.9472656250	20347.1525390625	10347.1525390625	245.4000000000	42.1644357745	20347.1525390625
0.6566901666	10937.0253906250	8.9201021194	22526.3867187500	0.0974218462	20273.7480468750	22526.3867187500	20273.7480468750	10273.7480468750	245.4000000000	41.8653139644	20273.7480468750
0.6567480436	10916.8134765625	8.8963737488	22458.6523437500	0.0975959442	20212.7871093750	22458.6523437500	20212.7871093750	10212.7871093750	245.4000000000	41.6168993862	20212.7871093750
0.6568059086	10895.3183593750	8.8921365738	22373.9218750000	0.0978399721	20136.5296875000	22373.9218750000	20136.5296875000	10136.5296875000	245.4000000000	41.3061519458	20136.5296875000
0.6568637855	10894.0888671875	8.8991479874	22393.1328125000	0.0977876057	20153.8195312500	22393.1328125000	20153.8195312500	10153.8195312500	245.4000000000	41.3766077068	20153.8195312500
0.6569216625	10869.5546875000	8.9154853821	22360.1191406250	0.0979571882	20124.1072265625	22360.1191406250	20124.1072265625	10124.1072265625	245.4000000000	41.2555306706	20124.1072265625
0.6569795165	10855.6474609375	8.9096059799	22330.1113281250	0.0977157175	20097.1001953125	22330.1113281250	20097.1001953125	10097.1001953125	245.4000000000	41.1454775685	20097.1001953125
0.6570373819	10868.9580078125	8.8989934921	22311.0136718750	0.0982128929	20079.9123046875	22311.0136718750	20079.9123046875	10079.9123046875	245.4000000000	41.0754372644	20079.9123046875
0.6570952585	10842.5439453125	8.8938932419	22295.2011718750	0.0982010417	20065.6810546875	22295.2011718750	20065.6810546875	10065.6810546875	245.4000000000	41.0174452106	20065.6810546875
0.6571531249	10796.9814453125	8.8776664734	22274.2968750000	0.0979480015	20046.8671875000	22274.2968750000	20046.8671875000	10046.8671875000	245.4000000000	40.9407790852	20046.8671875000
0.6572109902	10783.2207031250	8.8639421463	22262.0859375000	0.0979357883	20035.8773437500	22262.0859375000	20035.8773437500	10035.8773437500	245.4000000000	40.8959956958	20035.8773437500
0.6572688671	10821.5166015625	8.8820285797	22261.8671875000	0.0980800766	20035.6804687500	22261.8671875000	20035.6804687500	10035.6804687500	245.4000000000	40.8951934342	20035.6804687500
0.6573267325	10779.5507812500	8.8948564529	22269.7050781250	0.0977485479	20042.7345703125	22269.7050781250	20042.7345703125	10042.7345703125	245.4000000000	40.9239387543	20042.7345703125
0.6573846090	10787.2343750000	8.8994693756	22252.1953125000	0.0980604702	20026.9757812500	22252.1953125000	20026.9757812500	10026.9757812500	245.4000000000	40.8597220100	20026.9757812500
0.6574424747	10754.6376953125	8.8803348541	22245.7714843750	0.0979720177	20021.1943359375	22245.7714843750	20021.1943359375	10021.1943359375	245.4000000000	40.8361627381	20021.1943359375
0.6575003516	10760.8232421875	8.8964748383	22221.7460937500	0.0979658568	19999.5714843750	22221.7460937500	19999.5714843750	9999.5714843750	245.4000000000	40.7480500586	19999.5714843750
0.6575582170	10755.5166015625	8.8759555817	22218.6601562500	0.0978880516	19996.7941406250	22218.6601562500	19996.7941406250	9996.7941406250	245.4000000000	40.7367324394	10029.6147194862
0.6576160823	10657.5507812500	8.8855972290	22189.6386718750	0.0978257236	19970.6748046875	22189.6386718750	19970.6748046875	9970.6748046875	245.4000000000	40.6302966776	11256.5076499939
0.6576739476	10651.4931640625	8.8586568832	22231.3242187500	0.0976074279	20008.1917968750	22231.3242187500	20008.1917968750	10008.1917968750	245.4000000000	40.7831776564	12478.5056909561
0.6577318246	10663.1982421875	8.8240852356	22430.1582031250	0.0967292556	20187.1423828125	22430.1582031250	20187.1423828125	10187.1423828125	245.4000000000	41.5123976480	13712.9875666618
0.6577896899	10664.3750000000	8.8494100571	22576.2167968750	0.0959906318	20318.5951171875	22576.2167968750	20318.5951171875	10318.5951171875	245.4000000000	42.0480648622	14939.8800291061
0.6578475553	10658.2324218750	8.8430204391	22701.7890625000	0.0955542696	20431.6101562500	22701.7890625000	20431.6101562500	10431.6101562500	245.4000000000	42.5085988437	16161.8799423218
0.6579054325	10656.5332031250	8.8155441284	22781.9003906250	0.0952033667	20503.7103515625	22781.9003906250	20503.7103515625	10503.7103515625	245.4000000000	42.8024056706	17391.4717261314
0.6579632979	10666.3369140625	8.7755928040	22832.1757812500	0.0951248907	20548.9582031250	22832.1757812500	20548.9582031250	10548.9582031250	245.4000000000	42.9867897438	18618.3659438133
Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Lab Air supply pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.6690743451	10645.9482421875	-0.1222848967	20973.7343750000	0.1036003706	18876.3609375000	20973.7343750000	18876.3609375000	8876.3609375000	245.4000000000	36.1709899654	18876.3609375000
