Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Lab Air supply pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.6562934426	25288.3164062500	-0.3961757123	23931.9140625000	NaN	21538.7226562500	23931.9140625000	21538.7226562500	11538.7226562500	1165.6500000000	9.8989599419	21538.7226562500
0.6563513361	25304.7382812500	-0.4029414058	23810.7441406250	NaN	21429.6697265625	23810.7441406250	21429.6697265625	11429.6697265625	1165.6500000000	9.8054044752	21429.6697265625
0.6564091951	24715.2968750000	-0.4137005210	23553.5292968750	NaN	21198.1763671875	23553.5292968750	21198.1763671875	11198.1763671875	1165.6500000000	9.6068085336	14365.5197500944
0.6564670560	24049.2832031250	-0.4184052646	23336.0351562500	NaN	21002.4316406250	23336.0351562500	21002.4316406250	11002.4316406250	1165.6500000000	9.4388810026	20188.0869929075
0.6565249112	23897.8496093750	-0.4055329561	23134.5703125000	NaN	20821.1132812500	23134.5703125000	20821.1132812500	10821.1132812500	1165.6500000000	9.2833297141	20821.1132812500
0.6565828112	23836.8203125000	-0.3720137179	23016.1777343750	NaN	20714.5599609375	23016.1777343750	20714.5599609375	10714.5599609375	1165.6500000000	9.1919186385	20714.5599609375
0.6566406561	23735.4667968750	-0.3300325871	22607.9472656250	NaN	20347.1525390625	22607.9472656250	20347.1525390625	10347.1525390625	1165.6500000000	8.8767233209	20347.1525390625
0.6566985499	23707.8085937500	-0.2802113295	22526.3867187500	NaN	20273.7480468750	22526.3867187500	20273.7480468750	10273.7480468750	1165.6500000000	8.8137503083	20273.7480468750
0.6567564079	23675.9179687500	-0.2283971161	22458.6523437500	NaN	20212.7871093750	22458.6523437500	20212.7871093750	10212.7871093750	1165.6500000000	8.7614525024	20212.7871093750
0.6568143075	23660.2851562500	-0.1741123796	22373.9218750000	NaN	20136.5296875000	22373.9218750000	20136.5296875000	10136.5296875000	1165.6500000000	8.6960319886	20136.5296875000
0.6568721471	23653.2558593750	-0.1188775897	22393.1328125000	NaN	20153.8195312500	22393.1328125000	20153.8195312500	10153.8195312500	1165.6500000000	8.7108647804	20153.8195312500
0.6569300359	23606.9980468750	-0.0673162118	22360.1191406250	NaN	20124.1072265625	22360.1191406250	20124.1072265625	10124.1072265625	1165.6500000000	8.6853748780	20124.1072265625
0.6569878853	23630.5664062500	-0.0196968671	22330.1113281250	NaN	20097.1001953125	22330.1113281250	20097.1001953125	10097.1001953125	1165.6500000000	8.6622058039	20097.1001953125
0.6570457548	23585.1953125000	0.0301160868	22311.0136718750	NaN	20079.9123046875	22311.0136718750	20079.9123046875	10079.9123046875	1165.6500000000	8.6474604767	20079.9123046875
0.6571036417	23604.7949218750	0.0875104964	22295.2011718750	NaN	20065.6810546875	22295.2011718750	20065.6810546875	10065.6810546875	1165.6500000000	8.6352516233	20065.6810546875
0.6571615255	23584.8320312500	0.1427013576	22274.2968750000	NaN	20046.8671875000	22274.2968750000	20046.8671875000	10046.8671875000	1165.6500000000	8.6191113864	20046.8671875000
0.6572193780	23593.9667968750	0.1964372694	22262.0859375000	NaN	20035.8773437500	22262.0859375000	20035.8773437500	10035.8773437500	1165.6500000000	8.6096833044	20035.8773437500
0.6572772397	23595.5019531250	0.2531211972	22261.8671875000	NaN	20035.6804687500	22261.8671875000	20035.6804687500	10035.6804687500	1165.6500000000	8.6095144072	20035.6804687500
0.6573351133	23557.3046875000	0.3068720400	22269.7050781250	NaN	20042.7345703125	22269.7050781250	20042.7345703125	10042.7345703125	1165.6500000000	8.6155660535	20042.7345703125
0.6573929874	23587.2636718750	0.3653715551	22252.1953125000	NaN	20026.9757812500	22252.1953125000	20026.9757812500	10026.9757812500	1165.6500000000	8.6020467389	20026.9757812500
0.6574508673	23561.7050781250	0.4165092707	22245.7714843750	NaN	20021.1943359375	22245.7714843750	20021.1943359375	10021.1943359375	1165.6500000000	8.5970868922	20021.1943359375
0.6575087217	23540.1640625000	0.4732636809	22221.7460937500	NaN	19999.5714843750	22221.7460937500	19999.5714843750	9999.5714843750	1165.6500000000	8.5785368544	19999.5714843750
0.6575666008	23557.6855468750	0.5260478854	22218.6601562500	NaN	19996.7941406250	22218.6601562500	19996.7941406250	9996.7941406250	1165.6500000000	8.5761541978	19996.7941406250
0.6576244553	23589.9511718750	0.5793825388	22189.6386718750	NaN	19970.6748046875	22189.6386718750	19970.6748046875	9970.6748046875	1165.6500000000	8.5537466690	19970.6748046875
0.6576823411	23683.5839843750	0.6330662370	22231.3242187500	NaN	20008.1917968750	22231.3242187500	20008.1917968750	10008.1917968750	1165.6500000000	8.5859321382	20008.1917968750
