Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Lab Air supply pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.6344422900	13011.6738281250	-0.0118203796	24393.5839843750	0.5589597342	21954.2255859375	24393.5839843750	21954.2255859375	11954.2255859375	1349.7000000000	8.8569501266	21954.2255859375
0.6344538651	13017.8593750000	-0.0193458572	24393.5839843750	0.5599207747	21954.2255859375	24393.5839843750	21954.2255859375	11954.2255859375	1349.7000000000	8.8569501266	21954.2255859375
0.6344654351	12990.6943359375	-0.0162287559	24393.5839843750	0.5590136231	21954.2255859375	24393.5839843750	21954.2255859375	11954.2255859375	1349.7000000000	8.8569501266	21954.2255859375
0.6344769916	12988.6630859375	-0.0166805983	24393.5839843750	0.5586139533	21954.2255859375	24393.5839843750	21954.2255859375	11954.2255859375	1349.7000000000	8.8569501266	21954.2255859375
0.6344885826	13018.3818359375	-0.0241349842	24408.0097656250	0.5595180637	21967.2087890625	24408.0097656250	21967.2087890625	11967.2087890625	1349.7000000000	8.8665694518	21967.2087890625
0.6345001583	12987.5673828125	-0.0171850771	24408.0097656250	0.5594660440	21967.2087890625	24408.0097656250	21967.2087890625	11967.2087890625	1349.7000000000	8.8665694518	21967.2087890625
0.6345117139	13032.4531250000	-0.0193868726	24408.0097656250	0.5600911228	21967.2087890625	24408.0097656250	21967.2087890625	11967.2087890625	1349.7000000000	8.8665694518	11200.3787796974
0.6345232945	13106.9501953125	-0.0164324604	24408.0097656250	0.5623997123	21967.2087890625	24408.0097656250	21967.2087890625	11967.2087890625	1349.7000000000	8.8665694518	12554.8677114010
0.6345348803	13247.8750000000	-0.0124185076	24408.0097656250	0.5647175098	21967.2087890625	24408.0097656250	21967.2087890625	11967.2087890625	1349.7000000000	8.8665694518	13885.9004672050
0.6345464540	13463.6533203125	-0.0070449244	24375.4042968750	0.5722793591	21937.8638671875	24375.4042968750	21937.8638671875	11937.8638671875	1349.7000000000	8.8448276411	15235.7214615822
0.6345580179	13714.0527343750	0.0147993993	24375.4042968750	0.5774159158	21937.8638671875	24375.4042968750	21937.8638671875	11937.8638671875	1349.7000000000	8.8448276411	16553.4403307915
0.6345695957	14308.3486328125	0.0541986153	24375.4042968750	0.5972466503	21937.8638671875	24375.4042968750	21937.8638671875	11937.8638671875	1349.7000000000	8.8448276411	17950.3751197338
0.6345811757	14728.2460937500	0.0784108415	24375.4042968750	0.6093413843	21937.8638671875	24375.4042968750	21937.8638671875	11937.8638671875	1349.7000000000	8.8448276411	19284.2673330784
0.6345927283	15310.7792968750	0.1271080524	24375.4042968750	0.6299532137	21937.8638671875	24375.4042968750	21937.8638671875	11937.8638671875	1349.7000000000	8.8448276411	20634.9481598377
0.6346043113	16050.5097656250	0.1471894234	24371.7832031250	0.6568452177	21934.6048828125	24371.7832031250	21934.6048828125	11934.6048828125	1349.7000000000	8.8424130420	21934.6048828125
0.6346158849	16605.2363281250	0.1872311980	24371.7832031250	0.6736731689	21934.6048828125	24371.7832031250	21934.6048828125	11934.6048828125	1349.7000000000	8.8424130420	21934.6048828125
0.6346274525	16919.0175781250	0.2051880360	24371.7832031250	0.6910724536	21934.6048828125	24371.7832031250	21934.6048828125	11934.6048828125	1349.7000000000	8.8424130420	21934.6048828125
0.6346390257	17346.1835937500	0.2303183079	24371.7832031250	0.7049914320	21934.6048828125	24371.7832031250	21934.6048828125	11934.6048828125	1349.7000000000	8.8424130420	21934.6048828125
0.6346506177	17626.2285156250	0.2624996603	24371.7832031250	0.7216603284	21934.6048828125	24371.7832031250	21934.6048828125	11934.6048828125	1349.7000000000	8.8424130420	21934.6048828125
0.6346621815	17664.8886718750	0.2969928384	24043.1289062500	0.7415649644	21638.8160156250	24043.1289062500	21638.8160156250	11638.8160156250	1349.7000000000	8.6232614771	21638.8160156250
0.6346737682	17809.4238281250	0.3170920014	24043.1289062500	0.7514981459	21638.8160156250	24043.1289062500	21638.8160156250	11638.8160156250	1349.7000000000	8.6232614771	21638.8160156250
0.6346853461	17967.3027343750	0.3507177532	24043.1289062500	0.7572360318	21638.8160156250	24043.1289062500	21638.8160156250	11638.8160156250	1349.7000000000	8.6232614771	21638.8160156250
0.6346969036	17984.5859375000	0.3765521049	24043.1289062500	0.7593975619	21638.8160156250	24043.1289062500	21638.8160156250	11638.8160156250	1349.7000000000	8.6232614771	21638.8160156250
0.6347084896	18029.0000000000	0.3986425102	24043.1289062500	0.7642937986	21638.8160156250	24043.1289062500	21638.8160156250	11638.8160156250	1349.7000000000	8.6232614771	21638.8160156250
0.6347200453	18150.3828125000	0.4269500375	23281.7929687500	0.8290882352	20953.6136718750	23281.7929687500	20953.6136718750	10953.6136718750	1349.7000000000	8.1155913698	20953.6136718750
0.6347316373	18207.6328125000	0.4582119584	23281.7929687500	0.8379047345	20953.6136718750	23281.7929687500	20953.6136718750	10953.6136718750	1349.7000000000	8.1155913698	20953.6136718750
0.6347432014	18251.8222656250	0.4814945459	23281.7929687500	0.8339100615	20953.6136718750	23281.7929687500	20953.6136718750	10953.6136718750	1349.7000000000	8.1155913698	20953.6136718750
0.6347547578	18310.5859375000	0.5090692639	23281.7929687500	0.8383221703	20953.6136718750	23281.7929687500	20953.6136718750	10953.6136718750	1349.7000000000	8.1155913698	20953.6136718750
0.6347663630	18372.7812500000	0.5433328152	23281.7929687500	0.8493038745	20953.6136718750	23281.7929687500	20953.6136718750	10953.6136718750	1349.7000000000	8.1155913698	20953.6136718750
0.6347779073	18362.7050781250	0.5664054751	22646.0332031250	0.9011744146	20381.4298828125	22646.0332031250	20381.4298828125	10381.4298828125	1349.7000000000	7.6916573185	20381.4298828125
0.6347894892	18459.1152343750	0.6045147777	22646.0332031250	0.9153939231	20381.4298828125	22646.0332031250	20381.4298828125	10381.4298828125	1349.7000000000	7.6916573185	20381.4298828125
0.6348010621	18556.1054687500	0.6310026646	22646.0332031250	0.9226728562	20381.4298828125	22646.0332031250	20381.4298828125	10381.4298828125	1349.7000000000	7.6916573185	20381.4298828125
0.6348126320	18510.5039062500	0.6596198678	22646.0332031250	0.9236974441	20381.4298828125	22646.0332031250	20381.4298828125	10381.4298828125	1349.7000000000	7.6916573185	20381.4298828125
0.6348242116	18612.7597656250	0.6834772825	22646.0332031250	0.9328851162	20381.4298828125	22646.0332031250	20381.4298828125	10381.4298828125	1349.7000000000	7.6916573185	20381.4298828125
0.6348357991	18697.8554687500	0.7254030108	22297.0527343750	0.9987515115	20067.3474609375	22297.0527343750	20067.3474609375	10067.3474609375	1349.7000000000	7.4589519604	20067.3474609375
0.6348473703	18794.5957031250	0.7546620369	22297.0527343750	1.0125648608	20067.3474609375	22297.0527343750	20067.3474609375	10067.3474609375	1349.7000000000	7.4589519604	20067.3474609375
0.6348589440	18775.0117187500	0.7781749964	22297.0527343750	1.0022794017	20067.3474609375	22297.0527343750	20067.3474609375	10067.3474609375	1349.7000000000	7.4589519604	20067.3474609375
