Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Lab Air supply pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.6395348494	18590.6445312500	-0.0384381078	23756.0449218750	1.2683370365	21380.4404296875	23756.0449218750	21380.4404296875	11380.4404296875	2085.9000000000	5.4558897501	21380.4404296875
0.6395464338	18605.3828125000	-0.0358582959	23756.0449218750	1.2690281634	21380.4404296875	23756.0449218750	21380.4404296875	11380.4404296875	2085.9000000000	5.4558897501	21380.4404296875
0.6395580011	18598.3769531250	-0.0336742736	23756.0449218750	1.2704324688	21380.4404296875	23756.0449218750	21380.4404296875	11380.4404296875	2085.9000000000	5.4558897501	21380.4404296875
0.6395695978	18711.1972656250	-0.0456464067	23756.0449218750	1.2921761043	21380.4404296875	23756.0449218750	21380.4404296875	11380.4404296875	2085.9000000000	5.4558897501	11435.5511858463
0.6395811616	19136.4511718750	-0.0402994826	23975.7910156250	1.3156958104	21578.2119140625	23975.7910156250	21578.2119140625	11578.2119140625	2085.9000000000	5.5507032523	13504.6289303780
0.6395927323	19296.1367187500	-0.0294497795	23975.7910156250	1.3489704940	21578.2119140625	23975.7910156250	21578.2119140625	11578.2119140625	2085.9000000000	5.5507032523	15614.9939583302
0.6396043040	19704.8750000000	-0.0332395211	23975.7910156250	1.3846403586	21578.2119140625	23975.7910156250	21578.2119140625	11578.2119140625	2085.9000000000	5.5507032523	17723.2135593891
0.6396159003	19871.7597656250	-0.0339203626	23975.7910156250	1.4431853867	21578.2119140625	23975.7910156250	21578.2119140625	11578.2119140625	2085.9000000000	5.5507032523	19828.2264584064
0.6396274469	20006.2265625000	-0.0295324922	23975.7910156250	1.4595626975	21578.2119140625	23975.7910156250	21578.2119140625	11578.2119140625	2085.9000000000	5.5507032523	21578.2119140625
0.6396390327	20185.2128906250	-0.0299364850	24096.7363281250	1.4412132998	21687.0626953125	24096.7363281250	21687.0626953125	11687.0626953125	2085.9000000000	5.6028873366	21687.0626953125
0.6396506111	20191.4785156250	-0.0079007605	24096.7363281250	1.4662878972	21687.0626953125	24096.7363281250	21687.0626953125	11687.0626953125	2085.9000000000	5.6028873366	21687.0626953125
0.6396621851	20218.6621093750	0.0084373672	24096.7363281250	1.4606406149	21687.0626953125	24096.7363281250	21687.0626953125	11687.0626953125	2085.9000000000	5.6028873366	21687.0626953125
0.6396737596	20175.0019531250	0.0218955930	24096.7363281250	1.4544522960	21687.0626953125	24096.7363281250	21687.0626953125	11687.0626953125	2085.9000000000	5.6028873366	21687.0626953125
0.6396853391	19986.6406250000	0.0449245535	24096.7363281250	1.4185410717	21687.0626953125	24096.7363281250	21687.0626953125	11687.0626953125	2085.9000000000	5.6028873366	21687.0626953125
0.6396968841	20159.4082031250	0.0719524249	24024.9218750000	1.4448160752	21622.4296875000	24024.9218750000	21622.4296875000	11622.4296875000	2085.9000000000	5.5719016671	21622.4296875000
0.6397084815	20015.3613281250	0.0995982513	24024.9218750000	1.4410367917	21622.4296875000	24024.9218750000	21622.4296875000	11622.4296875000	2085.9000000000	5.5719016671	21622.4296875000
0.6397200421	19919.1894531250	0.1322635710	24024.9218750000	1.4311778545	21622.4296875000	24024.9218750000	21622.4296875000	11622.4296875000	2085.9000000000	5.5719016671	21622.4296875000
0.6397316370	19822.0800781250	0.1702525616	24024.9218750000	1.3843104779	21622.4296875000	24024.9218750000	21622.4296875000	11622.4296875000	2085.9000000000	5.5719016671	21622.4296875000
0.6397432000	19856.8320312500	0.1999101490	24024.9218750000	1.4057209408	21622.4296875000	24024.9218750000	21622.4296875000	11622.4296875000	2085.9000000000	5.5719016671	21622.4296875000
0.6397547826	19785.1562500000	0.2317189574	23271.8730468750	1.5351304776	20944.6857421875	23271.8730468750	20944.6857421875	10944.6857421875	2085.9000000000	5.2469848709	20944.6857421875
0.6397663469	19853.9746093750	0.2689156830	23271.8730468750	1.5634804846	20944.6857421875	23271.8730468750	20944.6857421875	10944.6857421875	2085.9000000000	5.2469848709	20944.6857421875
0.6397779293	19742.6738281250	0.2930889428	23271.8730468750	1.5646965449	20944.6857421875	23271.8730468750	20944.6857421875	10944.6857421875	2085.9000000000	5.2469848709	20944.6857421875
0.6397894954	19605.8691406250	0.3244664073	23271.8730468750	1.5088272535	20944.6857421875	23271.8730468750	20944.6857421875	10944.6857421875	2085.9000000000	5.2469848709	20944.6857421875
0.6398010916	19618.5175781250	0.3657700717	23271.8730468750	1.4928452333	20944.6857421875	23271.8730468750	20944.6857421875	10944.6857421875	2085.9000000000	5.2469848709	20944.6857421875
0.6398126389	19664.4882812500	0.4066068530	22709.4531250000	1.6675812895	20438.5078125000	22709.4531250000	20438.5078125000	10438.5078125000	2085.9000000000	5.0043184297	20438.5078125000
0.6398241962	19571.6308593750	0.4325963557	22709.4531250000	1.6430606010	20438.5078125000	22709.4531250000	20438.5078125000	10438.5078125000	2085.9000000000	5.0043184297	20438.5078125000
0.6398357953	19544.5605468750	0.4717952907	22709.4531250000	1.6307144128	20438.5078125000	22709.4531250000	20438.5078125000	10438.5078125000	2085.9000000000	5.0043184297	20438.5078125000
0.6398473727	19628.9746093750	0.5170753002	22709.4531250000	1.6355192642	20438.5078125000	22709.4531250000	20438.5078125000	10438.5078125000	2085.9000000000	5.0043184297	20438.5078125000
0.6398589502	19547.4335937500	0.5554102063	22709.4531250000	1.6263257931	20438.5078125000	22709.4531250000	20438.5078125000	10438.5078125000	2085.9000000000	5.0043184297	20438.5078125000
0.6398704925	19514.5703125000	0.5899122953	22372.8417968750	1.7009253445	20135.5576171875	22372.8417968750	20135.5576171875	10135.5576171875	2085.9000000000	4.8590812681	20135.5576171875
0.6398820681	19621.4492187500	0.6329187155	22372.8417968750	1.7292156744	20135.5576171875	22372.8417968750	20135.5576171875	10135.5576171875	2085.9000000000	4.8590812681	20135.5576171875
