Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Lab Air supply pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.6196505359	25504.8066406250	-0.0344282575	23005.3613281250	NaN	20704.8251953125	23005.3613281250	20704.8251953125	10704.8251953125	613.5000000000	17.4487778245	20704.8251953125
0.6196621351	25431.8281250000	-0.0287381783	23005.3613281250	NaN	20704.8251953125	23005.3613281250	20704.8251953125	10704.8251953125	613.5000000000	17.4487778245	20704.8251953125
0.6196736848	25433.5253906250	-0.0279657394	23386.4531250000	NaN	21047.8078125000	23386.4531250000	21047.8078125000	11047.8078125000	613.5000000000	18.0078366952	21047.8078125000
0.6196852593	25384.1269531250	-0.0326345563	23386.4531250000	NaN	21047.8078125000	23386.4531250000	21047.8078125000	11047.8078125000	613.5000000000	18.0078366952	21047.8078125000
0.6196968473	25330.1933593750	-0.0309215169	23386.4531250000	NaN	21047.8078125000	23386.4531250000	21047.8078125000	11047.8078125000	613.5000000000	18.0078366952	21047.8078125000
0.6197084317	25225.5039062500	-0.0231943857	23386.4531250000	NaN	21047.8078125000	23386.4531250000	21047.8078125000	11047.8078125000	613.5000000000	18.0078366952	21047.8078125000
0.6197199915	25199.7226562500	-0.0262841433	23386.4531250000	NaN	21047.8078125000	23386.4531250000	21047.8078125000	11047.8078125000	613.5000000000	18.0078366952	21047.8078125000
0.6197315572	25217.1093750000	-0.0313125215	23441.9472656250	NaN	21097.7525390625	23441.9472656250	21097.7525390625	11097.7525390625	613.5000000000	18.0892461924	21097.7525390625
0.6197431411	25194.2070312500	-0.0331356153	23441.9472656250	NaN	21097.7525390625	23441.9472656250	21097.7525390625	11097.7525390625	613.5000000000	18.0892461924	21097.7525390625
0.6197546967	24981.3222656250	-0.0303794425	23441.9472656250	NaN	21097.7525390625	23441.9472656250	21097.7525390625	11097.7525390625	613.5000000000	18.0892461924	21097.7525390625
0.6197662861	25040.2089843750	-0.0252861250	23441.9472656250	NaN	21097.7525390625	23441.9472656250	21097.7525390625	11097.7525390625	613.5000000000	18.0892461924	21097.7525390625
0.6197778726	25070.2226562500	-0.0312373284	23441.9472656250	NaN	21097.7525390625	23441.9472656250	21097.7525390625	11097.7525390625	613.5000000000	18.0892461924	21097.7525390625
0.6197894441	25030.6542968750	-0.0326031111	23455.2988281250	NaN	21109.7689453125	23455.2988281250	21109.7689453125	11109.7689453125	613.5000000000	18.1088328367	21109.7689453125
0.6198009947	25048.5429687500	-0.0333502591	23455.2988281250	NaN	21109.7689453125	23455.2988281250	21109.7689453125	11109.7689453125	613.5000000000	18.1088328367	21109.7689453125
0.6198124862	25007.1445312500	-0.0297635403	23455.2988281250	NaN	21109.7689453125	23455.2988281250	21109.7689453125	11109.7689453125	613.5000000000	18.1088328367	21109.7689453125
0.6198241501	25106.4667968750	-0.0321861319	23455.2988281250	NaN	21109.7689453125	23455.2988281250	21109.7689453125	11109.7689453125	613.5000000000	18.1088328367	21109.7689453125
0.6198357392	25184.2324218750	-0.0326359235	23455.2988281250	NaN	21109.7689453125	23455.2988281250	21109.7689453125	11109.7689453125	613.5000000000	18.1088328367	21109.7689453125
0.6198472836	25245.4882812500	-0.0354802795	23302.5351562500	NaN	20972.2816406250	23302.5351562500	20972.2816406250	10972.2816406250	613.5000000000	17.8847296506	20972.2816406250
0.6198588623	25345.7558593750	-0.0336462483	23302.5351562500	NaN	20972.2816406250	23302.5351562500	20972.2816406250	10972.2816406250	613.5000000000	17.8847296506	20972.2816406250
0.6198704415	25544.2011718750	-0.0141759794	23302.5351562500	NaN	20972.2816406250	23302.5351562500	20972.2816406250	10972.2816406250	613.5000000000	17.8847296506	20972.2816406250
0.6198820265	25467.3046875000	-0.0039702039	23302.5351562500	NaN	20972.2816406250	23302.5351562500	20972.2816406250	10972.2816406250	613.5000000000	17.8847296506	20972.2816406250
0.6198936172	25357.0410156250	0.0059423177	23302.5351562500	NaN	20972.2816406250	23302.5351562500	20972.2816406250	10972.2816406250	613.5000000000	17.8847296506	20972.2816406250
0.6199051884	25221.1210937500	0.0078617968	23127.1757812500	NaN	20814.4582031250	23127.1757812500	20814.4582031250	10814.4582031250	613.5000000000	17.6274787337	20814.4582031250
0.6199166911	25008.7089843750	0.0140276430	23127.1757812500	NaN	20814.4582031250	23127.1757812500	20814.4582031250	10814.4582031250	613.5000000000	17.6274787337	20814.4582031250
0.6199283220	25141.6191406250	0.0141992206	23127.1757812500	NaN	20814.4582031250	23127.1757812500	20814.4582031250	10814.4582031250	613.5000000000	17.6274787337	20814.4582031250
