Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Lab Air supply pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.6668305591	29865.6621093750	1.0791556835	21876.2441406250	NaN	19688.6197265625	21876.2441406250	20232.2337890625	10232.2337890625	2147.2500000000	4.7652736240	20232.2337890625
0.6668421534	29847.2050781250	1.0739285946	21876.2441406250	NaN	19688.6197265625	21876.2441406250	19688.6197265625	9688.6197265625	2147.2500000000	4.5121060550	19688.6197265625
0.6668537272	29643.8730468750	1.0681588650	21876.2441406250	NaN	19688.6197265625	21876.2441406250	19688.6197265625	9688.6197265625	2147.2500000000	4.5121060550	19688.6197265625
0.6668653258	29601.9824218750	1.0640145540	21876.2441406250	NaN	19688.6197265625	21876.2441406250	19688.6197265625	9688.6197265625	2147.2500000000	4.5121060550	10602.7949522734
0.6668768673	29385.3125000000	1.0598303080	21876.2441406250	NaN	19688.6197265625	21876.2441406250	19688.6197265625	9688.6197265625	2147.2500000000	4.5121060550	12684.3348543644
0.6668884374	29346.2304687500	1.0558009148	21433.1875000000	NaN	19289.8687500000	21433.1875000000	19688.6197265625	9688.6197265625	2147.2500000000	4.5121060550	14923.0252724886
0.6669000356	29331.3183593750	1.0532898903	21433.1875000000	NaN	19289.8687500000	21433.1875000000	19289.8687500000	9289.8687500000	2147.2500000000	4.3264029573	17024.7296364307
0.6669115959	29084.0878906250	1.0468480587	21433.1875000000	NaN	19289.8687500000	21433.1875000000	19289.8687500000	9289.8687500000	2147.2500000000	4.3264029573	19146.5851516724
0.6669231831	29000.0000000000	1.0322139263	21433.1875000000	NaN	19289.8687500000	21433.1875000000	19289.8687500000	9289.8687500000	2147.2500000000	4.3264029573	19289.8687500000
0.6669347599	28866.5976562500	1.0191713572	21433.1875000000	NaN	19289.8687500000	21433.1875000000	19289.8687500000	9289.8687500000	2147.2500000000	4.3264029573	19289.8687500000
0.6669463344	28764.2441406250	1.0009297132	21433.1875000000	NaN	19289.8687500000	21433.1875000000	19289.8687500000	9289.8687500000	2147.2500000000	4.3264029573	19289.8687500000
0.6669579180	28722.1074218750	0.9993355870	21433.1875000000	NaN	19289.8687500000	21433.1875000000	19289.8687500000	9289.8687500000	2147.2500000000	4.3264029573	19289.8687500000
0.6669694728	28614.7226562500	0.9859399199	21433.1875000000	NaN	19289.8687500000	21433.1875000000	19289.8687500000	9289.8687500000	2147.2500000000	4.3264029573	19289.8687500000
0.6669810751	28492.1718750000	0.9769173861	21433.1875000000	NaN	19289.8687500000	21433.1875000000	19289.8687500000	9289.8687500000	2147.2500000000	4.3264029573	19289.8687500000
0.6669926630	28425.5703125000	0.9709528089	21433.1875000000	NaN	19289.8687500000	21433.1875000000	19289.8687500000	9289.8687500000	2147.2500000000	4.3264029573	19289.8687500000
0.6670042299	28409.3066406250	0.9605181813	21244.4003906250	NaN	19119.9603515625	21244.4003906250	19289.8687500000	9289.8687500000	2147.2500000000	4.3264029573	19289.8687500000
