Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Lab Air supply pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.67682897	20136.99023	0.278347969	21040.03906	0.243162289	18936.03516	21040.03906	18936.03516	8936.035156	245.4	36.41416119	14598.76938
0.676886848	17767.67773	0.499028176	21838.21875	0.145178743	19654.39688	21838.21875	19654.39688	9654.396875	245.4	39.34147056	15818.58086
0.676944714	15685.80176	0.714211762	21635.88477	0.127380051	19472.29629	21635.88477	19472.29629	9472.296289	245.4	38.59941438	17048.18295
0.67700258	14266.02441	0.915441871	21608.79492	0.118097278	19447.91543	21608.79492	19447.91543	9447.91543	245.4	38.50006288	18274.85448
0.677060458	13260.9248	1.085833073	21937.33398	0.109931853	19743.60059	21937.33398	19743.60059	9743.600586	245.4	39.70497386	19506.90418
0.677118324	12525.73438	1.218594909	22312.65039	0.104379216	20081.38535	22312.65039	20081.38535	10081.38535	245.4	41.0814399	20081.38535
0.677176213	11949.62305	1.337888479	22575.7793	0.100301199	20318.20137	22575.7793	20318.20137	10318.20137	245.4	42.04646034	20318.20137
0.677234068	11504.49121	1.467939496	22766.875	0.097944534	20490.1875	22766.875	20490.1875	10490.1875	245.4	42.74730033	20490.1875
0.677291934	11283.11816	1.614870548	22874.19531	0.096878927	20586.77578	22874.19531	20586.77578	10586.77578	245.4	43.1408956	20586.77578
0.677349812	11101.15137	1.724767923	22988.65039	0.095808402	20689.78535	22988.65039	20689.78535	10689.78535	245.4	43.5606575	20689.78535
0.677407677	10968.00098	1.824027658	23097.52734	0.094874293	20787.77461	23097.52734	20787.77461	10787.77461	245.4	43.95996173	20787.77461
0.677465544	10913.74512	1.936619401	23228.55664	0.094309205	20905.70098	23228.55664	20905.70098	10905.70098	245.4	44.44050928	20905.70098
0.677523433	10836.90039	2.042484045	23273.9668	0.093577493	20946.57012	23273.9668	20946.57012	10946.57012	245.4	44.60705019	20946.57012
0.677581288	10796.35645	2.149507046	23341.70703	0.093505577	21007.53633	23341.70703	21007.53633	11007.53633	245.4	44.85548626	21007.53633
0.677639165	10751.09375	2.257551432	23451.98828	0.092809699	21106.78945	23451.98828	21106.78945	11106.78945	245.4	45.25994072	21106.78945
0.677697031	10730.7334	2.367166519	23441.54102	0.092959641	21097.38691	23441.54102	21097.38691	11097.38691	245.4	45.22162557	21097.38691
0.677754897	10706.4375	2.475571156	23352.77344	0.093210511	21017.49609	23352.77344	21017.49609	11017.49609	245.4	44.8960721	21017.49609
0.677812775	10719.3623	2.67003727	23309.56055	0.093349151	20978.60449	23309.56055	20978.60449	10978.60449	245.4	44.73758962	20978.60449
0.677870641	10712.9209	2.842823744	23322.26563	0.093245701	20990.03906	23322.26563	20990.03906	10990.03906	245.4	44.78418526	20990.03906
0.677928507	10716.92773	2.97452116	23272.13281	0.093470503	20944.91953	23272.13281	20944.91953	10944.91953	245.4	44.60032409	20944.91953
0.677986385	10717.39746	3.114658117	23265.92969	0.093431202	20939.33672	23265.92969	20939.33672	10939.33672	245.4	44.57757424	20939.33672
0.678044251	10700.5498	3.210149765	23212.44336	0.093676103	20891.19902	23212.44336	20891.19902	10891.19902	245.4	44.38141411	20891.19902
0.678102117	10677.68457	3.299921036	23225.04492	0.093466391	20902.54043	23225.04492	20902.54043	10902.54043	245.4	44.42763011	20902.54043
0.678159995	10696.55078	3.402303219	23152.74414	0.093913347	20837.46973	23152.74414	20837.46973	10837.46973	245.4	44.16246832	20837.46973
0.678217861	10672.65234	3.49502039	23120.78711	0.093995296	20808.7084	23120.78711	20808.7084	10808.7084	245.4	44.0452665	20808.7084
0.678275739	10674.56738	3.586145163	23087.14063	0.093928637	20778.42656	23087.14063	20778.42656	10778.42656	245.4	43.92186863	20778.42656
0.678333605	10697.90527	3.67258811	23085.82227	0.094301642	20777.24004	23085.82227	20777.24004	10777.24004	245.4	43.91703357	20777.24004
0.678391471	10736.55469	3.761520863	23073.16406	0.094343316	20765.84766	23073.16406	20765.84766	10765.84766	245.4	43.87060985	20765.84766
0.678449349	10774.1582	3.885242224	23037.29297	0.094632358	20733.56367	23037.29297	20733.56367	10733.56367	245.4	43.73905327	20733.56367
0.678507215	10812.47754	3.951934576	23391.52539	0.093256144	21052.37285	23391.52539	21052.37285	11052.37285	245.4	45.03819418	21052.37285
0.678565081	10836.36816	4.023217201	23708.14648	0.092174842	21337.33184	23708.14648	21337.33184	11337.33184	245.4	46.19939623	21337.33184
0.678622959	10828.86621	4.13045311	23742.11523	0.092061302	21367.90371	23742.11523	21367.90371	11367.90371	245.4	46.323976	21367.90371
0.678680837	10816.04492	4.239597797	23712.97266	0.092089864	21341.67539	23712.97266	21341.67539	11341.67539	245.4	46.21709613	21341.67539
0.678738692	10771.95703	4.332938194	23700.38281	0.091912715	21330.34453	23700.38281	21330.34453	11330.34453	245.4	46.17092311	21330.34453
0.678796569	10659.43945	4.4280653	23648.47656	0.091610483	21283.62891	23648.47656	21283.62891	11283.62891	245.4	45.98055789	21283.62891
0.678854435	10571.1084	4.549505711	23583.24219	0.091730436	21224.91797	23583.24219	21224.91797	11224.91797	245.4	45.74131202	21224.91797
