Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Lab Air supply pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.6489438834	15253.2109375000	0.3293652236	21499.3671875000	0.2327873566	19349.4304687500	21499.3671875000	19349.4304687500	9349.4304687500	429.4500000000	21.7707078094	19349.4304687500
0.6490017686	15238.2353515625	0.3316765428	21470.9277343750	0.2334503354	19323.8349609375	21470.9277343750	19323.8349609375	9323.8349609375	429.4500000000	21.7111071392	19323.8349609375
0.6490596187	15053.0859375000	0.3346502781	21441.7890625000	0.2302814088	19297.6101562500	21441.7890625000	19297.6101562500	9297.6101562500	429.4500000000	21.6500411136	10880.7213183641
0.6491174824	15433.2705078125	0.3390980065	21401.5351562500	0.2448265705	19261.3816406250	21401.5351562500	19261.3816406250	9261.3816406250	429.4500000000	21.5656808491	13024.5804041386
0.6491753702	15619.4960937500	0.3694652915	21388.8417968750	0.2433653296	19249.9576171875	21388.8417968750	19249.9576171875	9249.9576171875	429.4500000000	21.5390793275	15169.6257672310
0.6492332108	15752.0683593750	0.4386700094	21268.3046875000	0.2424068112	19141.4742187500	21268.3046875000	19141.4742187500	9141.4742187500	429.4500000000	21.2864692485	17320.9105026007
0.6492911130	15580.0410156250	0.5378664732	21275.8906250000	0.2340250984	19148.3015625000	21275.8906250000	19148.3015625000	9148.3015625000	429.4500000000	21.3023671266	19148.3015625000
0.6493489851	15030.7539062500	0.6468189359	21292.8339843750	0.2364648019	19163.5505859375	21292.8339843750	19163.5505859375	9163.5505859375	429.4500000000	21.3378753893	19163.5505859375
0.6494068704	15340.5302734375	0.7628471851	21333.9550781250	0.2336692615	19200.5595703125	21333.9550781250	19200.5595703125	9200.5595703125	429.4500000000	21.4240530220	19200.5595703125
0.6494647299	14911.7402343750	0.8787924647	21384.2792968750	0.2319424579	19245.8513671875	21384.2792968750	19245.8513671875	9245.8513671875	429.4500000000	21.5295176789	19245.8513671875
0.6495226030	15008.7822265625	0.9910884500	21380.2304687500	0.2285171176	19242.2074218750	21380.2304687500	19242.2074218750	9242.2074218750	429.4500000000	21.5210325343	19242.2074218750
0.6495804729	14944.7412109375	1.1090947390	21413.9726562500	0.2297009745	19272.5753906250	21413.9726562500	19272.5753906250	9272.5753906250	429.4500000000	21.5917461652	19272.5753906250
0.6496383369	14962.4628906250	1.2213144302	21385.8281250000	0.2292117878	19247.2453125000	21385.8281250000	19247.2453125000	9247.2453125000	429.4500000000	21.5327635639	19247.2453125000
0.6496962047	14913.6835937500	1.3344153166	21403.2402343750	0.2314010717	19262.9162109375	21403.2402343750	19262.9162109375	9262.9162109375	429.4500000000	21.5692541878	19262.9162109375
0.6497540852	15194.2958984375	1.4495589733	21430.0703125000	0.2352293883	19287.0632812500	21430.0703125000	19287.0632812500	9287.0632812500	429.4500000000	21.6254820846	19287.0632812500
0.6498119717	15180.7646484375	1.5585163832	21496.0019531250	0.2333292447	19346.4017578125	21496.0019531250	19346.4017578125	9346.4017578125	429.4500000000	21.7636552749	19346.4017578125
0.6498698375	15346.3369140625	1.6608648300	21589.2167968750	0.2309245705	19430.2951171875	21589.2167968750	19430.2951171875	9430.2951171875	429.4500000000	21.9590059778	19430.2951171875
