Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Lab Air supply pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.6459785661	4704.9736328125	1.1951359510	21050.3906250000	0.3348182812	18945.3515625000	21050.3906250000	18945.3515625000	8945.3515625000	1104.3000000000	8.1004723015	18945.3515625000
0.6460365381	5128.3984375000	1.1533495188	21181.5449218750	0.3464182483	19063.3904296875	21181.5449218750	19063.3904296875	9063.3904296875	1104.3000000000	8.2073625190	12493.5482525349
0.6460943086	5858.8901367188	1.1306012869	21334.5468750000	0.3419719534	19201.0921875000	21334.5468750000	19201.0921875000	9201.0921875000	1104.3000000000	8.3320584873	18017.6384566307
0.6461522762	5342.6215820313	1.2512207031	21231.9921875000	0.3387743496	19108.7929687500	21231.9921875000	19108.7929687500	9108.7929687500	1104.3000000000	8.2484768349	19108.7929687500
0.6462101516	5332.1274414063	1.5095309019	21101.8378906250	0.3469771435	18991.6541015625	21101.8378906250	18991.6541015625	8991.6541015625	1104.3000000000	8.1424016133	18991.6541015625
0.6462680258	5549.7416992188	1.7855427265	21236.1699218750	0.3419407364	19112.5529296875	21236.1699218750	19112.5529296875	9112.5529296875	1104.3000000000	8.2518816714	19112.5529296875
0.6463258982	5348.9340820313	2.0696957111	21404.2421875000	0.3399792485	19263.8179687500	21404.2421875000	19263.8179687500	9263.8179687500	1104.3000000000	8.3888598830	19263.8179687500
0.6463837661	5566.9458007813	2.3448112011	21465.5664062500	0.3413081281	19319.0097656250	21465.5664062500	19319.0097656250	9319.0097656250	1104.3000000000	8.4388388713	19319.0097656250
0.6464416231	5310.0590820313	2.5898737907	21558.6718750000	0.3358373153	19402.8046875000	21558.6718750000	19402.8046875000	9402.8046875000	1104.3000000000	8.5147194490	19402.8046875000
0.6464995261	5542.1132812500	2.8259210587	21655.1425781250	0.3363303010	19489.6283203125	21655.1425781250	19489.6283203125	9489.6283203125	1104.3000000000	8.5933426789	19489.6283203125
0.6465573928	5514.7646484375	3.0634057522	21731.5332031250	0.3381154268	19558.3798828125	21731.5332031250	19558.3798828125	9558.3798828125	1104.3000000000	8.6556007270	19558.3798828125
0.6466152455	5673.5458984375	3.3288440704	21780.8457031250	0.3372488937	19602.7611328125	21780.8457031250	19602.7611328125	9602.7611328125	1104.3000000000	8.6957902135	19602.7611328125
0.6466731192	5767.7626953125	3.5820233822	21854.1093750000	0.3387498330	19668.6984375000	21854.1093750000	19668.6984375000	9668.6984375000	1104.3000000000	8.7554998076	19668.6984375000
0.6467309977	5763.5146484375	3.7847585678	21917.9570312500	0.3363453797	19726.1613281250	21917.9570312500	19726.1613281250	9726.1613281250	1104.3000000000	8.8075353872	19726.1613281250
0.6467888712	5568.0522460938	4.0602941513	21912.6660156250	0.3326244522	19721.3994140625	21912.6660156250	19721.3994140625	9721.3994140625	1104.3000000000	8.8032232311	19721.3994140625
0.6468467291	5261.9594726563	4.2751574516	21908.8769531250	0.3340609362	19717.9892578125	21908.8769531250	19717.9892578125	9717.9892578125	1104.3000000000	8.8001351606	19717.9892578125
0.6469045929	5550.7880859375	4.4691233635	21904.9335937500	0.3340134050	19714.4402343750	21904.9335937500	19714.4402343750	9714.4402343750	1104.3000000000	8.7969213387	19714.4402343750
0.6469624367	5431.3945312500	4.6751508713	21969.1347656250	0.3343397454	19772.2212890625	21969.1347656250	19772.2212890625	9772.2212890625	1104.3000000000	8.8492450322	19772.2212890625
0.6470203471	5698.0688476563	4.8879399300	22003.2031250000	0.3360914141	19802.8828125000	22003.2031250000	19802.8828125000	9802.8828125000	1104.3000000000	8.8770106063	19802.8828125000
0.6470782223	5811.4916992188	5.0633873940	22075.7519531250	0.3346174143	19868.1767578125	22075.7519531250	19868.1767578125	9868.1767578125	1104.3000000000	8.9361376056	19868.1767578125
0.6471360717	5813.5830078125	5.3009047508	22644.3789062500	0.3287505806	20379.9410156250	22644.3789062500	20379.9410156250	10379.9410156250	1104.3000000000	9.3995662552	20379.9410156250
0.6471939668	5462.9370117188	5.5033864975	23184.5292968750	0.3192466764	20866.0763671875	23184.5292968750	20866.0763671875	10866.0763671875	1104.3000000000	9.8397866225	20866.0763671875
0.6472518347	5069.5615234375	5.6680197716	23391.8378906250	0.3171062345	21052.6541015625	23391.8378906250	21052.6541015625	11052.6541015625	1104.3000000000	10.0087422816	21052.6541015625
0.6473096911	5172.6176757813	5.8253579140	23484.0156250000	0.3152558199	21135.6140625000	23484.0156250000	21135.6140625000	11135.6140625000	1104.3000000000	10.0838667595	21135.6140625000
