Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Lab Air supply pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.6659423546	6760.2192382813	5.3183550835	23161.9218750000	0.7106771382	20845.7296875000	23161.9218750000	20845.7296875000	10845.7296875000	1963.2000000000	5.5245159370	20845.7296875000
0.6659539530	6773.8540039063	5.3100547791	23059.6035156250	0.7109808520	20845.7296875000	23161.9218750000	20845.7296875000	10845.7296875000	1963.2000000000	5.5245159370	20845.7296875000
0.6659655032	6913.1445312500	5.3031725883	23059.6035156250	0.7164621979	20753.6431640625	23059.6035156250	20753.6431640625	10753.6431640625	1963.2000000000	5.4776095986	20753.6431640625
0.6659770640	6786.8974609375	5.3031578064	23059.6035156250	0.7154593793	20753.6431640625	23059.6035156250	20753.6431640625	10753.6431640625	1963.2000000000	5.4776095986	20753.6431640625
0.6659886488	6749.3876953125	5.3000726700	23059.6035156250	0.7123161493	20753.6431640625	23059.6035156250	20753.6431640625	10753.6431640625	1963.2000000000	5.4776095986	20753.6431640625
0.6660002095	6717.6606445313	5.2900495529	23059.6035156250	0.7124745931	20753.6431640625	23059.6035156250	20753.6431640625	10753.6431640625	1963.2000000000	5.4776095986	20753.6431640625
0.6660117120	6665.2919921875	5.2832446098	23059.6035156250	0.7127621866	20753.6431640625	23059.6035156250	20753.6431640625	10753.6431640625	1963.2000000000	5.4776095986	20753.6431640625
0.6660233724	6718.8505859375	5.2722849846	22997.4882812500	0.7161052622	20697.7394531250	22997.4882812500	20697.7394531250	10697.7394531250	1963.2000000000	5.4491337883	20697.7394531250
0.6660349434	6746.6875000000	5.2587966919	22997.4882812500	0.7156880497	20697.7394531250	22997.4882812500	20697.7394531250	10697.7394531250	1963.2000000000	5.4491337883	20697.7394531250
0.6660465038	6808.8144531250	5.2539615631	22997.4882812500	0.7133060460	20697.7394531250	22997.4882812500	20697.7394531250	10697.7394531250	1963.2000000000	5.4491337883	20697.7394531250
0.6660580770	6713.4829101563	5.2361698151	22997.4882812500	0.7132595113	20697.7394531250	22997.4882812500	20697.7394531250	10697.7394531250	1963.2000000000	5.4491337883	20697.7394531250
0.6660695788	6584.2426757813	5.2366538048	22997.4882812500	0.7116838959	20697.7394531250	22997.4882812500	20697.7394531250	10697.7394531250	1963.2000000000	5.4491337883	20697.7394531250
0.6660812427	6646.5546875000	5.2299313545	22878.8906250000	0.7164796537	20591.0015625000	22878.8906250000	20591.0015625000	10591.0015625000	1963.2000000000	5.3947644471	20591.0015625000
0.6660928286	6628.9140625000	5.2223253250	22878.8906250000	0.7177134891	20591.0015625000	22878.8906250000	20591.0015625000	10591.0015625000	1963.2000000000	5.3947644471	20591.0015625000
0.6661043911	6489.4462890625	5.2203955650	22878.8906250000	0.7110862980	20591.0015625000	22878.8906250000	20591.0015625000	10591.0015625000	1963.2000000000	5.3947644471	20591.0015625000
0.6661158960	6632.6362304688	5.2074713707	22878.8906250000	0.7170706190	20591.0015625000	22878.8906250000	20591.0015625000	10591.0015625000	1963.2000000000	5.3947644471	20591.0015625000
0.6661275433	6588.2182617188	5.2100415230	22878.8906250000	0.7135763357	20591.0015625000	22878.8906250000	20591.0015625000	10591.0015625000	1963.2000000000	5.3947644471	20591.0015625000
0.6661390952	6747.4331054688	5.2020754814	22878.8906250000	0.7190388953	20591.0015625000	22878.8906250000	20591.0015625000	10591.0015625000	1963.2000000000	5.3947644471	20591.0015625000
0.6661507053	6725.2255859375	5.1922979355	22878.8906250000	0.7172688908	20591.0015625000	22878.8906250000	20591.0015625000	10591.0015625000	1963.2000000000	5.3947644471	20591.0015625000
0.6661622594	6717.2309570313	5.1989908218	22878.8906250000	0.7165887358	20591.0015625000	22878.8906250000	20591.0015625000	10591.0015625000	1963.2000000000	5.3947644471	20591.0015625000
Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Lab Air supply pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.6663937173	6396.6376953125	5.0690927505	22681.2851562500	0.7148395031	20413.1566406250	22681.2851562500	20413.1566406250	10413.1566406250	1963.2000000000	5.3041751429	20413.1566406250
0.6664515911	6376.7900390625	5.0387773514	22612.6542968750	0.7174710099	20351.3888671875	22612.6542968750	20351.3888671875	10351.3888671875	1963.2000000000	5.2727123407	20351.3888671875
0.6665094336	6401.1494140625	5.0183520317	22599.3925781250	0.7170126669	20339.4533203125	22599.3925781250	20339.4533203125	10339.4533203125	1963.2000000000	5.2666327019	20339.4533203125
0.6665672151	6319.4482421875	4.9793810844	22579.3945312500	0.7147307492	20321.4550781250	22579.3945312500	20321.4550781250	10321.4550781250	1963.2000000000	5.2574648931	20321.4550781250
0.6666252080	6258.9487304688	4.9545607567	22573.6816406250	0.7181114110	20316.3134765625	22573.6816406250	20316.3134765625	10316.3134765625	1963.2000000000	5.2548459029	20316.3134765625
0.6666830908	6231.8696289063	4.9336380959	22565.5546875000	0.7155325963	20308.9992187500	22565.5546875000	20308.9992187500	10308.9992187500	1963.2000000000	5.2511202214	10000.0000000000
0.6667409741	7389.9956054688	4.9105763435	22527.0195312500	0.7582593584	20274.3175781250	22527.0195312500	20274.3175781250	10274.3175781250	1963.2000000000	5.2334543491	19801.7512153626
start
0.6667988421	8463.2177734375	4.8480129242	22480.2597656250	0.7749559145	20232.2337890625	22480.2597656250	20232.2337890625	10232.2337890625	1963.2000000000	5.2120180262	20232.2337890625
0.6668566933	8835.2021484375	4.9443230629	21876.2441406250	0.8011990911	19688.6197265625	21876.2441406250	19688.6197265625	9688.6197265625	1963.2000000000	4.9351159976	19688.6197265625
0.6669145552	8964.6777343750	5.0963826180	21433.1875000000	0.8151233808	19289.8687500000	21433.1875000000	19289.8687500000	9289.8687500000	1963.2000000000	4.7320032345	19289.8687500000
0.6669724200	9000.0390625000	5.2711801529	21433.1875000000	0.8116537078	19289.8687500000	21433.1875000000	19289.8687500000	9289.8687500000	1963.2000000000	4.7320032345	19289.8687500000
0.6670302855	9168.4716796875	5.4383153915	21244.4003906250	0.8386249756	19119.9603515625	21244.4003906250	19119.9603515625	9119.9603515625	1963.2000000000	4.6454565768	19119.9603515625
0.6670881589	9580.6621093750	5.5861611366	21262.4960937500	0.8463027618	19136.2464843750	21262.4960937500	19136.2464843750	9136.2464843750	1963.2000000000	4.6537522842	19136.2464843750
0.6671460261	9708.0605468750	5.7276887894	21256.1171875000	0.8408256367	19130.5054687500	21256.1171875000	19130.5054687500	9130.5054687500	1963.2000000000	4.6508279690	19130.5054687500
0.6672039100	9669.0810546875	5.8685970306	21203.5644531250	0.8499347774	19083.2080078125	21203.5644531250	19083.2080078125	9083.2080078125	1963.2000000000	4.6267359453	19083.2080078125
0.6672617879	9790.4521484375	6.0112385750	21213.3164062500	0.8507146252	19091.9847656250	21213.3164062500	19091.9847656250	9091.9847656250	1963.2000000000	4.6312065840	19091.9847656250
0.6673196577	9832.6845703125	6.1471590996	21206.5039062500	0.8516850431	19085.8535156250	21206.5039062500	19085.8535156250	9085.8535156250	1963.2000000000	4.6280834941	19085.8535156250
0.6673775135	9832.6923828125	6.2855401039	21175.1855468750	0.8527654856	19057.6669921875	21175.1855468750	19057.6669921875	9057.6669921875	1963.2000000000	4.6137260555	19057.6669921875
0.6674353912	9621.8300781250	6.3825383186	21185.1386718750	0.8416523612	19066.6248046875	21185.1386718750	19066.6248046875	9066.6248046875	1963.2000000000	4.6182889184	19066.6248046875
