Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Lab Air supply pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.6654948303	24724.7753906250	0.8056772351	23844.7558593750	NaN	21460.2802734375	23844.7558593750	21460.2802734375	11460.2802734375	1901.8500000000	6.0258591758	21460.2802734375
0.6655526911	24773.5175781250	0.7629259229	23818.5859375000	NaN	21436.7273437500	23818.5859375000	21436.7273437500	11436.7273437500	1901.8500000000	6.0134749553	21436.7273437500
0.6656105520	24713.3125000000	0.7198745012	23807.2890625000	NaN	21426.5601562500	23807.2890625000	21426.5601562500	11426.5601562500	1901.8500000000	6.0081290093	13073.0362533569
0.6656684302	24444.5898437500	0.6842603087	23737.4531250000	NaN	21363.7078125000	23737.4531250000	21363.7078125000	11363.7078125000	1901.8500000000	5.9750810067	21363.7078125000
0.6657263010	24269.8359375000	0.6617953181	23721.9160156250	NaN	21349.7244140625	23721.9160156250	21349.7244140625	11349.7244140625	1901.8500000000	5.9677284823	21349.7244140625
0.6657841720	24186.8007812500	0.6607913971	23623.9082031250	NaN	21261.5173828125	23623.9082031250	21261.5173828125	11261.5173828125	1901.8500000000	5.9213488881	21261.5173828125
0.6658420441	24047.1289062500	0.6761491299	23444.3222656250	NaN	21099.8900390625	23444.3222656250	21099.8900390625	11099.8900390625	1901.8500000000	5.8363646129	21099.8900390625
0.6658999293	23984.4355468750	0.7022352815	23311.8828125000	NaN	20980.6945312500	23311.8828125000	20980.6945312500	10980.6945312500	1901.8500000000	5.7736911593	20980.6945312500
0.6659577897	23938.2421875000	0.7258020639	23161.9218750000	NaN	20845.7296875000	23161.9218750000	20845.7296875000	10845.7296875000	1901.8500000000	5.7027261285	20845.7296875000
0.6660156590	23881.9628906250	0.7532312870	23059.6035156250	NaN	20753.6431640625	23059.6035156250	20753.6431640625	10753.6431640625	1901.8500000000	5.6543066825	20753.6431640625
0.6660735332	23825.7460937500	0.7858411074	22997.4882812500	NaN	20697.7394531250	22997.4882812500	20697.7394531250	10697.7394531250	1901.8500000000	5.6249122976	20697.7394531250
0.6661314126	23795.1542968750	0.8136574626	22878.8906250000	NaN	20591.0015625000	22878.8906250000	20591.0015625000	10591.0015625000	1901.8500000000	5.5687891067	20591.0015625000
0.6661892937	23789.9550781250	0.8519626856	22830.1640625000	NaN	20547.1476562500	22830.1640625000	20547.1476562500	10547.1476562500	1901.8500000000	5.5457305551	20547.1476562500
0.6662471311	23786.6347656250	0.8901816607	22772.3007812500	NaN	20495.0707031250	22772.3007812500	20495.0707031250	10495.0707031250	1901.8500000000	5.5183482941	20495.0707031250
0.6663050338	23720.5058593750	0.9228735566	22748.2187500000	NaN	20473.3968750000	22748.2187500000	20473.3968750000	10473.3968750000	1901.8500000000	5.5069521124	20473.3968750000
0.6663628676	23715.8691406250	0.9530004263	22663.2636718750	NaN	20396.9373046875	22663.2636718750	20396.9373046875	10396.9373046875	1901.8500000000	5.4667493781	20396.9373046875
0.6664207334	23734.9531250000	0.9838526845	22681.2851562500	NaN	20413.1566406250	22681.2851562500	20413.1566406250	10413.1566406250	1901.8500000000	5.4752775669	20413.1566406250
0.6664786021	23690.0898437500	1.0218262672	22612.6542968750	NaN	20351.3888671875	22612.6542968750	20351.3888671875	10351.3888671875	1901.8500000000	5.4427998355	20351.3888671875
