file name	carbon (g)	flow (mL/s)
0gac0_5mLpers.xls	0	0.5
0gac0_5mlperws.xls	0	0.5
0gac2_6mLpers.xls	0	2.6
120gsand.xls	0	0.5
0_5gac.xls	0.5	0.5
0_601gac0_5mlpers.xls	0.601	0.5
1_66gac0_5mlpers.xls	1.66	0.5
2gac0_466mLpers.xls	2	0.466
4gac0_466mLpers.xls	4	0.466
13_8gac0_6mLpers.xls	13.8	0.6
13_8gac2_6mLpers.xls	13.8	2.6
15gac0_5mLpers.xls	15	0.5
15_63gac2_6mLpers.xls	15.63	2.6
29.342gac0.467mLpers.xls	29.342	0.467
